user_id,channel,option,membership,rating,review,morphed_review
imy1220,MOBILE,대용량 250ml,스마트클럽,5,진짜 몇통째 사서 쓰고 있는지 모르겠어요 순하고 잘 지워지고 다른 거 사용하다가도 이만한 거 없어서 결국엔 이 제품으로 정착했습니다 제일 좋아용,진짜/MAG 몇/MM 통째/NNG 사/VV 아서/EC 쓰/VV 고/EC 있/VV 는지/EC 모르/VV 겠/EP 어요/EC 순하/VA 고/EC 잘/MAG 지우/VV 어/EC 지/VX 고/EC 다른/MM 거/NNB 사용/NNG 하/XSV 다가/EC 도/JX 이만/MAG 하/XSV ㄴ/ETM 거/NNB 없/VA 어서/EC 결국/NNG 에/JKB ㄴ/JX 이/MM 제품/NNG 으로/JKB 정착/NNG 하/XSV 았/EP 습니다/EC 제일/NNG 좋/VA 아/EC 용/XSN 
coco7346,MOBILE,대용량 250ml,스마트클럽,5,행사하면 무조건 쟁이게 되는 템이에요!! 아이메이크업 지우다가 내용물이 눈 안으로 들어갔을 때 엄청 따갑고 아픈 제품도 있고 자극적으로 세정되는 제품도 있는데 이 제품은 눈에 들어가도 전혀 따갑지 않고 세정력도 너무 좋아서 좋아요!!! 앞으로도 쭉 사용할 것 같습니당 ㅎㅎ 강추!!!!,행사/NNG 하/XSV 면/EC 무조건/MAG 쟁이/XSN 게/NNG 되/VV 는/ETM 템이에요!!/NA 아이/NNG 메이크업/NNG 지우/VV 다가/EC 내용물/NNG 이/JKS 눈/NNG 안/NNG 으로/JKB 들어가/VV 았/EP 을/ETM 때/NNG 엄청/MAG 따갑/VA 고/EC 아프/VA ㄴ/ETM 제품/NNG 도/JX 있/VV 고/EC 자극/NNG 적/XSN 으로/JKB 세정/NNG 되/XSV 는/ETM 제품/NNG 도/JX 있/VV 는데/EC 이/MM 제품/NNG 은/JX 눈/NNG 에/JKB 들어가/VV 아도/EC 전혀/MAG 따갑/VA 지/EC 않/VX 고/EC 세/MM 정력/NNG 도/JX 너무/MAG 좋/VA 아서/EC 좋/VA 아요/EF !/SF !/SF !/SF 앞/NNG 으로/JKB 도/JX 쭉/MAG 사용/NNG 하/XSV ㄹ/ETM 것/NNB 같습니당/NA ㅎㅎ/NA 강/NNG 추/NNG !/SF !/SF !/SF !/SF 
smlove2465,MOBILE,일반용량 120ml,일반,5,항상 잘 쓰고있어요,항상/MAG 잘/MAG 쓰/VV 고/EC 있/VX 어요/EC 
necklace37,MOBILE,대용량 250ml,스마트클럽,5,매번 이것망 이용하고 있어요. 저는 좀 민감한 편이라 그런지 머르겠는데 다른 것들을 쓰면 눈이 따갑고 시리더라구요. 구렇다고 순한 걸 쓰면 비싸고 또 잘 지워지지도 않아요. 그래서 다른 것 썼다가도 다시 이거에 정착하게ㅜ되는 것 같아요. 일단 대용량으로 나온거라 정말 좋았어요. 저희집에 화장하는 사람이 많아서 정말 빠르게 닳거든요. 추천입니다.,매번/MAG 이것/NP 망/NNG 이용/NNG 하/XSV 고/EC 있/VX 어요/EF ./SF 저/NP 는/JX 좀/MAG 민감/XR 하/XSA ㄴ/ETM 편/NNB 이/VCP 라/EC 그렇/VA ㄴ지/EC 머르겠는데/NA 다른/MM 것/NNB 들/XSN 을/JKO 쓰/VV 면/EC 눈/NNG 이/JKS 따갑/VA 고/EC 시리/VA 더라구요/EF ./SF 구렇다고/NA 순하/VA ㄴ/ETM 걸/VV ㄹ/ETM 쓰/VV 면/EC 비싸/VA 고/EC 또/MAJ 잘/MAG 지우/VV 어/EC 지/VX 지/EC 도/JX 않/VX 아요/EF ./SF 그래서/MAJ 다른/MM 것/NNB 쓰/VV 었/EP 다가/EC 도/JX 다시/MAG 이것/NP 에/JKB 정착하게ㅜ되는/NA 것/NNB 같/VA 아요/EF ./SF 일단/MAG 대용량/NNG 으로/JKB 나오/VV ㄴ/ETM 거/NNB 이/VCP 라/EC 정말/MAG 좋/VA 았/EP 어요/EF ./SF 저희/NP 집/NNG 에/JKB 화장/NNG 하/XSV 는/ETM 사람/NNG 이/JKS 많/VA 아서/EC 정말/MAG 빠르/VA 게/EC 닳/VV 거든요/EF ./SF 추천/NNG 이/VCP ㅂ니다/EF ./SF 
woouk747,MOBILE,대용량 250ml,프라임,5,저자극이라서 쓰기 너무 좋아요!!눈에 들어가도 따갑지 않고 깨끗하게 잘 지워져서 몇통째 쓰고 있네요^^,저/XPN 자극/NNG 이/VCP 라서/EC 쓰/VV 기/ETN 너무/MAG 좋/VA 아요/EF !/SF !/SF 눈/NNG 에/JKB 들어가/VV 아도/EC 따갑/VA 지/EC 않/VX 고/EC 깨끗/XR 하/XSA 게/EC 잘/MAG 지우/VV 어/EC 지/VX 어서/EC 몇/MM 통째/NNG 쓰/VV 고/EC 있/VV 네요/EC ^/SW ^/SW 
soyee0420,MOBILE,대용량 250ml,일반,5,묻지도따지지도않고쓰는 뽀오얀,묻/VV 지/EC 도/JX 따지/VV 지도/EC 않/VX 고/EC 쓰/VV 는/ETM 뽀/VV 오/EP 아야/EC 하/VX ㄴ/ETM 
l9920208,MOBILE,대용량 250ml,일반,5,"리뉴얼되기 전에 써봤는데 리뉴얼하고는 첨이에요
작은사이즈 사려다 큰사이즈로 구매했어요
포인트로 구매해서 정가에 구매했어요
와 엄청좋다고는 못하겠고 쏘쏘입니다~~",리/NNG 뉴/NNG 얼/NNG 되/XSV 기/ETN 전/NNG 에/JKB 쓰/VV 어/EC 보/VX 았/EP 는데/EC 리/NNG 뉴/NNG 얼/NNG 하/XSV 고/EC 는/JX 첨/NNG 이/VCP 에요/EC 작/VA 은/ETM 사이즈/NNG 살/VV 려다/EC 크/VA ㄴ/ETM 사이즈/NNG 로/JKB 구매/NNG 하/XSV 았/EP 어요/EC 포인트/NNG 로/JKB 구매/NNG 하/XSV 아서/EC 정가/NNG 에/JKB 구매/NNG 하/XSV 았/EP 어요/EC 와/JKB 엄청/MAG 좋/VA 다고/EC 는/JX 못하/VX 겠/EP 고/EC 쏘/VV 쏘이/VV ㅂ니다/EC ~/SO ~/SO 
aksencldrn,MOBILE,대용량 250ml,일반,5,립&amp;아이 리무버에서 완전 정착한 제품입니다. 다른 제품들 보다 자극도 덜하고 화장도 잘 지워져서 좋아요~ 사용기간도 넉넉~,립/NNG &/SW amp/SL ;/SP 아이/NNG 리무버/NNG 에서/JKB 완전/NNG 정착/NNG 하/XSV ㄴ/ETM 제품/NNG 이/VCP ㅂ니다/EF ./SF 다른/MM 제품/NNG 들/XSN 보다/MAG 자극/NNG 도/JX 덜하/VA 고/EC 화장/NNG 도/JX 잘/MAG 지우/VV 어/EC 지/VX 어서/EC 좋/VA 아요/EC ~/SO 사용/NNG 기간/NNG 도/JX 넉/MM 넉/MM ~/SW 
cuty339,MOBILE,대용량 250ml,일반,5,"다른거 써봐도 뽀오얀 만큼 만족스러운건 없네요
1&amp;#43;1하면 항상 쟁여두고 있어요 ㅎ",다른/MM 거/NNB 쓰/VV 어/EC 보/VX 아도/EC 뽀/VV 오/EP 아야/EC 하/VX ㄴ/ETM 만큼/NNB 만족/NNG 스럽/XSA ㄴ/ETM 건/NNB 없/VA 네요/EC 1/SN &/SW amp/SL ;/SP #/SW 43/SN ;/SP 1/SN 하/VV 면/EC 항상/MAG 쟁여두고/NA 있/VV 어요/EC ㅎ/NA 
queen-keh,MOBILE,대용량 250ml,프라임,5,원플원할때 쟁여놓는 최애탬 이에여,원/NNB 프/VX ㄹ/ETM 원/NNB 하/XSA ㄹ/ETM 때/NNG 쟁여놓는/NA 최애탬/NA 이/NP 에/JKB 이/VCP 어/EC 
