user_id,channel,option,review,membership,recom_point
ccocco214,APP,대용량 250ml,저자극으로 부드럽게 지워줘서 데일리로 사용해요 ㅎㅎ,프라임,5
kyh7kyh7,MOBILE,일반용량 120ml,사용했을 때 눈에 자극적이지 않아서 좋아요,일반,4
jyjoungs,MOBILE,대용량 250ml,"이걸로 정착한지 1년도 넘은 거 같아요.
눈에 자극없이 지워져서 애용중입니다!",일반,5
chunjiwoong,MOBILE,대용량 250ml,잘지워지고 좋아요 항상 이것만 사써요! 강추!!,일반,5
cyh8408,APP,대용량 250ml,"아리따움에서 자주 물건을 구매해요 그때마다 행사상품이 틀려서 때때로 필요한상품중에 할인율이 높은걸 구매 하는편이구요~직영점이라서 제품도 유통기한좋구요 테스터도 배치가 잘되있어서 편하게 테스트하고 사는편이예요~다음에 또 구매할 의사있구요 좋은 상품 많이 만들어주세요~^^
",스마트클럽,5
dmswhd1143,APP,대용량 250ml,완전짱 메이크업 눈 정말 확실하게 지워져요 말해봤자 무슨소용 써보면 알아용 추천합니당^^ㅋ,일반,5
soyoung48,MOBILE,일반용량 120ml,순하고 잘 지워지네요 한번 써보고 계속 구매하고 있어요,스마트클럽,5
elraelra,MOBILE,일반용량 120ml,좋아요 항상 쓰던거에욤좋음,일반,5
jwhan0813,MOBILE,대용량 250ml,배송도 빠르고 좋습니다. 평소에 계속 쓰는 제품이라 1&amp;#43;1일때 여러개 구매했습니다. 곡물성분들어 간거라 성분도 좋고 아이라인 지울 때 잘지워져서 항상 애용하고 있습니다. 행사 자주해주세요~!!또 가격  저렴할 때  구매하겠습니다~~리무버로 강추합니다~!!,일반,5
ziosj,APP,일반용량 120ml,아리따움에서 세일기간에 빼먹지 않고 꼭사는 제품중에 하나예요ㅡ 마스카라지울때 자극적이지 않고 눈화장 진하게 한날도 깨끗하게 잘지워집니다ㅡ 없으면 불안해서 쟁여놓고 쓰는 제품중 하나예요 ,스마트클럽,5
thdus2042,MOBILE,대용량 250ml,매번 구매하는 제품이에요. 무난하게 잘지워져요. 아이메이크업 두껍게 한 날도 잘 지워져요. ,프라임,5
rladbflzz,MOBILE,대용량 250ml,"워낙 인기있는 제품이라 그런지 
대용량은 품절일 때가 많아서 
세일하길래 미리 구매했어요
눈에 들어가도 안따갑고
세정력 정말 좋아요.
절대 단종되지 않았으면 해요 ㅠㅠㅠ",일반,5
kjiwonlove,MOBILE,대용량 250ml,"몇년째 이 리무버만 사용하고있습니다~!
정말 잘지워집니다 제가 짠순이라 별5개 왠만해서 안주는데 이건 별5개도 모자라요!!가격면에서도 1&amp;#43;1행사가 너무너무 고마울정도로 항상 기다려지는 아이템입니다~! 사진은 최근 1&amp;#43;1으로 산거고 지난번 1&amp;#43;1행사할때 산거 중에 한통은 이미다쓰고 나머지 한통 쓰고있네요~ 쟁여놓고 쓸만큼 추천 아이템입니다..이런 평가쓰는게 저는 싫은게ㅜㅜ 사람들이 또 엄청살까봐 또품절될까 무섭...",일반,5
ddbsekdms,APP,대용량 250ml,"뽀오얀 미소 발효 립 &amp; 아이 리무버
대용량 구매 했습니다.
생각보다 잘 안지워집니다.
2차 클렌징 용도로 ㅅ쓰고 있는데 눈가는 마스카라만 하는데 남습니다. 생각보다 오일리 하진 않아서 오히려 리무버 쓰고나서 바로 클렌징하고 있어요~",스마트클럽,3
heerah0901,MOBILE,대용량 250ml,몇년째 쓰고 있음. 눈에 들어가면 시리긴 함,일반,5
skdaksdbswjd,MOBILE,대용량 250ml,"늘 사용하고 있습니다. 1&amp;#43;1행사도 자주하는 것 같고 성분 또한 믿을만 합니다. 대용량도 있어 항상 대용량으로 구매합니다!! 진한
틴트를 자주바르시는 분들에게 좋은 제품입니다~ 
여행용 키트 상품으로 미니사이즈로도 나왔으면 합니다. 

",일반,5
tndus1937,MOBILE,대용량 250ml,"원래 계속 사용하던 제품인데 마침 250ml 1&amp;#43;1행사중이라 바로 구매했습니다! 다른 리무버보다 확실히 눈에 자극없이 순하고 잘 지워져요 앞으로도 꾸준히 사용할 예정입니다~
배송도 빠르고 다음에도 행사 때 쟁여두려구요^^",일반,5
fsrww345,MOBILE,대용량 250ml,"늘 쓰던거에용!!
무난하게 괜차늠",일반,5
mylovesh,MOBILE,대용량 250ml,키스미 마스카라가 좀 안지워지지만 그래도 예민성 피부에는 찰떡!,프라임,5
prettygirl72,APP,대용량 250ml,립과 아이메이크업을 했을 때 립앤아이 리무버를 사용하면 눈이 따갑지 않고 잘 지워져요~ 눈에 펄이 들은 아이섀도우를 발랐거나 마스카라를 했을 때 화장솜에 리무버를 묻히고 화장솜을 눈에 5초 정도 대고 있다가 떼면 잘 지워져요~!!,일반,5
whwhdgml97,MOBILE,대용량 250ml,항상느끼는거지만 순하고 잘지워져요!,일반,5
redjuice11,MOBILE,대용량 250ml,"뽀오얀 미소 발효 립 앤 아이리무버 순하고  포인트 메이크업도 잘 지워지고 너무 좋아요.평소에 잘 사용했던 제품이랑 이번에도 재구매했답니다.
가격대비 짱이니 아직 사용 안해보신 분들 꼭 사용해보셔요~~ 강추 합니다. 강추",일반,5
khj81264,MOBILE,대용량 250ml,후기보고 구매합니다. 눈이 시리지 않아서 담번에 또 재구매 할것 같네요 ㅎㅎ,일반,5
isbeauty89,MOBILE,대용량 250ml,"대용량에 좋아요
ㅋㅋㅋ 득템했어요 엣날에 사보고 재구매에요
성능은 머 좋으니까 말안해도 아실것 같아요 홓ㅎㅎㅎㅎㅎㅎㅎ
오프라인 테이크아웃 첨해보는데 갠찮네용 ㅋㅋㅋㅋㅋㅋㅋ
택배박스뜯기귀찮았는데 ㅎㅎ
다만 직원이 물건을 확인해주지않아서 제가앞에서 뜯어서 봤거든요 ㅋㅋㅋ그리고 인사를 안하더라구요 ㅋ
당연히 물건확인해야대지안나여..",일반,5
nezumi88,MOBILE,대용량 250ml,"순해서  눈에 들어가도 자극적이지 않아 좋고 메이크업이 잘 지워져 재구매했어요
앞으로도 계속 사용할것 같아요
1&amp;#43;1이라  저럼하게 득템했네요^^",스마트클럽,5
