user_id,review_count,skin_type,age,rating,review,morphed_review
카리렝가,33,지성,24,4,무난하게 잘 지워져요 조금 많이 기름지긴 해요,무난/XR 하/XSA 게/EC 잘/MAG 지우/VV 어/EC 지/VX 어요/EC 조금/MAG 많이/MAG 기름지/VA 기/ETN ㄴ/JX 하/VV 아요/EC 
세후닝,146,복합성,37,4,"이가격에  이정도 세정력이면 
저는 그냥 쓸거같아요 
향은 거의없는편이고요 솜에  듬뿍 묻혀서 두세번정도 문질러주면 잘 닦여요
눈에 들어가도  따갑지않구요",이/MM 가격/NNG 에/JKB 이/MM 정도/NNG 세/MM 정력/NNG 이/VCP 면/EC 저/NP 는/JX 그냥/MAG 쓰/VV ㄹ/ETM 거/NNB 같/VA 아요/EC 향/NNG 은/JX 거의/MAG 없/VA 는/ETM 편/NNB 이/VCP 고요/EC 솜/NNG 에/JKB 듬뿍/MAG 묻히/VV 어서/EC 두세/MM 번/NNB 정도/NNG 문지르/VV 어/EC 주/VX 면/EC 잘/MAG 닦이/VV 어요/EC 눈/NNG 에/JKB 들어가/VV 아도/EC 따갑/VA 지/EC 않/VX 구요/EC 
전꿀꿀,13,건성,20,2,눈따갑고 먼가 찝찝한느낌,눈/NNG 따갑/VA 고/EC 멀/VA ㄴ가/EC 찝찝한느낌/NA 
pmk619,25,복합성,33,3,"화장솜에 묻혀 눈에 쫌 올려둔뒤 쓰윽 닦으면 잘 지워지긴해요
근데 눈에 들어가면 쫌 시리고 따가워요 ㅜㅜ",화장/NNG 솜/NNG 에/JKB 묻히/VV 어/EC 눈/NNG 에/JKB 쪼/VV ㅁ/ETN 올리/VV 어/EC 두/VX ㄴ/ETM 뒤/NNG 쓰윽/MAG 닦/VV 으면/EC 잘/MAG 지우/VV 어/EC 지/VX 기/ETN ㄴ/JX 하/VV 아요/EC 근데/MAJ 눈/NNG 에/JKB 들어가/VV 면/EC 쪼/VV ㅁ/ETN 시리/VA 고/EC 따갑/VA 어요/EC ㅜㅜ/NA 
키리리니니ㅐ,45,복합성,30,5,"리무버 기능 좋다고 추천있길래 1+1 기다렸다가 바로 샀는데 신기하게 저렴한데도 좋아요
잘 지워지고
한번 하고 눈 시리고 피부따갑고 그런제품들 있는데 이건 순해요",리무버/NNG 기능/NNG 좋/VA 다고/EC 추천/NNG 있/VV 길래/EC 1/SN +/SW 1/SN 기다리/VV 었/EP 다가/EC 바로/MAG 사/VV 았/EP 는데/EC 신기/XR 하/XSA 게/EC 저렴/XR 하/XSA ㄴ데/EC 도/JX 좋/VA 아요/EC 잘/MAG 지우/VV 어/EC 지/VX 고/EC 한번/NNG 하/VV 고/EC 눈/NNG 시리/VA 고/EC 피부/NNG 따갑/VA 고/EC 그런/MM 제품/NNG 들/XSN 있/VV 는데/EC 이것/NP ㄴ/JX 순/NNG 하/XSV 아요/EC 
hihi.,47,건성,22,4,무난무난 딱히 나쁜 점 없이 잘 썼어요,무난/XR 무난/XR 딱히/MAG 나쁘/VA ㄴ/ETM 점/NNB 없이/MAG 잘/MAG 쓰/VV 었/EP 어요/EC 
유치찬란,87,복합성,19,3,존에 워낙 유명하길래 샀는데 그냥 무난한 것 같아요..!  바로 슥 지워지진 않지만 두번 정도면 다 깨끗하게 지워져요. 냄새가 거의 없어서 좋았어요.,존/NNP 에/JKB 워낙/MAG 유명/XR 하/XSA 길래/EC 사/VV 았/EP 는데/EC 그냥/MAG 무난/XR 하/XSA ㄴ/ETM 것/NNB 같/VA 아요/EC ../SE !/SF 바로/MAG 슥/NA 지우/VV 어/EC 지/VX 지/EC ㄴ/JX 않/VX 지만/EC 두/MM 번/NNB 정도/NNG 이/VCP 면/EC 다/MAG 깨끗/XR 하/XSA 게/EC 지우/VV 어/EC 지/VX 어요/EF ./SF 냄새/NNG 가/JKS 거의/MAG 없/VA 어서/EC 좋/VA 았/EP 어요/EF ./SF 
네인,78,복합성,17,3,눈에 들어갔을 때 좀 불편하긴 해요ㅠ! 세정력은 솔직히 잘 모르겠어요 마스카라 지우기 너무 힘든..,눈/NNG 에/JKB 들어가/VV 았/EP 을/ETM 때/NNG 좀/MAG 불편/NNG 하/XSV 기/ETN ㄴ/JX 해요ㅠ!/NA 세/MM 정력/NNG 은/JX 솔직히/MAG 잘/MAG 모르/VV 겠/EP 어요/EC 마스카라/NNG 지우/VV 기/ETN 너무/MAG 힘/NNG 이/VCP 든/EF ./SF ./SF 
바나나코코팜,62,지성,22,3,"원플원하는데다가 용량도 커서 가성비 생각하고 샀는데, 엄청 잘지워지는것같진않고 몇번 문지르면 사라져요! 아리따움 픽서랑 페리페라 잉크마스카라는 몇번 문질문질해도 남아있는정도ㅠㅠ 세정력이 매우좋다는느낌은 없지만 여러번 문지르면 다 지워지는..?","원/NNB 프/VX ㄹ/ETM 원/NNB 하/XSA 는데다가/EC 용량/NNG 도/JX 크/VA 어서/EC 가/XPN 성비/NNG 생각/NNG 하/XSV 고/EC 사/VV 았/EP 는데/EC ,/SP 엄청/MAG 잘/MAG 지우/VV 어/EC 지/VX 는/ETM 것/NNB 같/VA 지/EC ㄴ/JX 않/VX 고/EC 몇/MM 번/NNB 문지르/VV 면/EC 사라지/VV 어요/EF !/SF 아리땁/VA ㅁ/ETN 픽/MAG 서/NNG 랑/JKB 페리페라/NNP 잉크/NNG 마스카라/NNG 는/JX 몇/MM 번/NNB 문/NNG 질문/NNG 질/XSN 하/XSV 아도/EC 남아있는정도ㅠㅠ/NA 세/MM 정력/NNG 이/JKS 매우/MAG 좋/VA 다는/ETM 느낌/NNG 은/JX 없/VA 지만/EC 여러/MM 번/NNB 문지르/VV 면/EC 다/MAG 지우/VV 어/EC 지/VX 는/ETM ../SE ?/SF "
글로벌픽커,152,건성,30,2,"1+1할때 샀지만
죄송 별로에요
한통 꾸역꾸역 비우고 두통째 쓰고있는데 힘드네요 ㅎ ㅎ

잘지워지는편은 아니에요
눈에 들어간적은 없어서 따가운것까진 모르겠어요

제생각인지 모르겠지만 아리따움에서
마몽드 밑이라고 생각하는 아리따움붙은 제품은 이제 안사렵니다
싼건 좋지만, 싸다고 다 좋은건 아니더라구요.
차라리 비슷한가격대의  타 브랜드 것을 사는게 실패하지 않는것 같아서요

아리따움 미안","1/SN +/SW 1/SN 할/NNB 때/NNG 사/VV 았/EP 지만/EC 죄송/XR 별로/MAG 에/JKB 요/NNG 한통/NNP 꾸역꾸역/MAG 비우/VV 고/EC 두통/NNG 째/XSN 쓰/VV 고/EC 있/VX 는데/EC 힘들/VA 네요/EC ㅎ/NA 아니/VCN 에요/EC 눈/NNG 에/JKB 들어가/VV ㄴ/ETM 적/NNB 은/JX 없/VA 어서/EC 따갑/VA ㄴ/ETM 것/NNB 까지/JX ㄴ/JX 모르/VV 겠/EP 어요/EC 제/XPN 생각/NNG 이/VCP ㄴ지/EC 모르/VV 겠/EP 지만/EC 아리땁/VA ㅁ/ETN 에/JKB 서/VV 어/EC 마몽드/NNP 밑/NNG 이/VCP 라고/EC 생각/NNG 하/XSV 는/ETM 아리땁/VA ㅁ/ETN 붙/VV 은/ETM 제품/NNG 은/JX 이제/MAG 안/MAG 살/VV 렵니다/EC 싸/VA ㄴ/ETM 건/NNB 좋/VA 지만/EC ,/SP 싸/VV 다고/EC 다/MAG 좋/VA 은/ETM 건/NNB 아니/VCN 더라구요/EF ./SF 차라리/MAG 비슷/XR 하/XSA ㄴ/ETM 가격/NNG 대/XSN 의/JKG 타/MM 브랜드/NNG 것/NNB 을/JKO 살/VV 는/ETM 게/EC 실패/NNG 하/XSV 지/EC 않/VX 는/ETM 것/NNB 같/VA 아서요/EC 아리땁/VA ㅁ/ETN 미안/XR "
됼프,21,복합성,14,4,며칠 써본지 얼마 안됬지만 그래서 그런지 다른분들처럼 눈이시리거나 따갑진 않았어요! 생각보다 쓱쓱 잘지워져서 놀랐습니다 가끔 반값세일하는데 그때 사시는걸 추천드려요!,며칠/NNG 쓰/VV 어/EC 보/VX ㄴ지/EC 얼마/NNG 안됬지만/NA 그래서/MAJ 그렇/VA ㄴ지/EC 다른/MM 분/NNB 들/XSN 처럼/JKB 눈/NNG 이/JKS 시리/VA 거나/EC 따갑/VA 지/EC ㄴ/JX 않/VX 았/EP 어요/EF !/SF 생각/NNG 보다/JKB 쓱쓱/MAG 잘/MAG 지우/VV 어/EC 지/VX 어서/EC 놀라/VV 았/EP 습니다/EC 가끔/MAG 반값/NNG 세일/NNG 하/XSV 는데/EC 그때/NNG 살/VV 시/EP 는/ETM 것/NNB ㄹ/JKO 추천/NNG 드리/VV 어요/EF !/SF 
콩콩이1106,38,건성,31,2,아리따움에서 원플러스원할 때 샀는데 퍽퍽 솜에 묻혀서 쓰지 않는데도 눈에 들어가면 저어어엉말 눈 시렵고 아프고 충혈되는 날이 너무 많아서 버렸어요..,아리땁/VA ㅁ/ETN 에서/JKB 원/NNB 플러스/NNG 원하/VV ㄹ/ETM 때/NNG 사/VV 았/EP 는데/EC 퍽퍽/MAG 솜/NNG 에/JKB 묻히/VV 어서/EC 쓰/VV 지/EC 않/VX 는데/EC 도/JX 눈/NNG 에/JKB 들어가/VV 면/EC 저어/NNG 어/NNG 엉/NNG 말/NNG 눈/NNG 시렵/VA 고/EC 아프/VA 고/EC 충혈/NNG 되/XSV 는/ETM 날/NNG 이/JKS 너무/MAG 많/VA 아서/EC 버리/VX 었/EP 어요/EF ./SF ./SF 
yangeng,7,복합성,34,3,가성비 괜찮고 순한듯 하나 눈에 쫌 드가면 ㅋ따가워용 ㅠㅠㅋㅋ,가/XPN 성비/NNG 괜찮/VA 고/EC 순하/VA ㄴ듯/EC 하나/NR 눈/NNG 에/JKB 쪼/VV ㅁ/ETN 드가/NNP 이/VCP 면/EC ㅋ따가워용/NA ㅠㅠㅋㅋ/NA 
