user_id,review_count,skin_type,age,rating,review
카리렝가,33,지성,24,4,무난하게 잘 지워져요 조금 많이 기름지긴 해요
세후닝,146,복합성,37,4,"이가격에  이정도 세정력이면 
저는 그냥 쓸거같아요 
향은 거의없는편이고요 솜에  듬뿍 묻혀서 두세번정도 문질러주면 잘 닦여요
눈에 들어가도  따갑지않구요"
전꿀꿀,13,건성,20,2,눈따갑고 먼가 찝찝한느낌
pmk619,25,복합성,33,3,"화장솜에 묻혀 눈에 쫌 올려둔뒤 쓰윽 닦으면 잘 지워지긴해요
근데 눈에 들어가면 쫌 시리고 따가워요 ㅜㅜ"
키리리니니ㅐ,45,복합성,30,5,"리무버 기능 좋다고 추천있길래 1+1 기다렸다가 바로 샀는데 신기하게 저렴한데도 좋아요
잘 지워지고
한번 하고 눈 시리고 피부따갑고 그런제품들 있는데 이건 순해요"
hihi.,47,건성,22,4,무난무난 딱히 나쁜 점 없이 잘 썼어요
유치찬란,87,복합성,19,3,존에 워낙 유명하길래 샀는데 그냥 무난한 것 같아요..!  바로 슥 지워지진 않지만 두번 정도면 다 깨끗하게 지워져요. 냄새가 거의 없어서 좋았어요.
네인,78,복합성,17,3,눈에 들어갔을 때 좀 불편하긴 해요ㅠ! 세정력은 솔직히 잘 모르겠어요 마스카라 지우기 너무 힘든..
바나나코코팜,62,지성,22,3,"원플원하는데다가 용량도 커서 가성비 생각하고 샀는데, 엄청 잘지워지는것같진않고 몇번 문지르면 사라져요! 아리따움 픽서랑 페리페라 잉크마스카라는 몇번 문질문질해도 남아있는정도ㅠㅠ 세정력이 매우좋다는느낌은 없지만 여러번 문지르면 다 지워지는..?"
글로벌픽커,152,건성,30,2,"1+1할때 샀지만
죄송 별로에요
한통 꾸역꾸역 비우고 두통째 쓰고있는데 힘드네요 ㅎ ㅎ

잘지워지는편은 아니에요
눈에 들어간적은 없어서 따가운것까진 모르겠어요

제생각인지 모르겠지만 아리따움에서
마몽드 밑이라고 생각하는 아리따움붙은 제품은 이제 안사렵니다
싼건 좋지만, 싸다고 다 좋은건 아니더라구요.
차라리 비슷한가격대의  타 브랜드 것을 사는게 실패하지 않는것 같아서요

아리따움 미안"
됼프,21,복합성,14,4,며칠 써본지 얼마 안됬지만 그래서 그런지 다른분들처럼 눈이시리거나 따갑진 않았어요! 생각보다 쓱쓱 잘지워져서 놀랐습니다 가끔 반값세일하는데 그때 사시는걸 추천드려요!
콩콩이1106,38,건성,31,2,아리따움에서 원플러스원할 때 샀는데 퍽퍽 솜에 묻혀서 쓰지 않는데도 눈에 들어가면 저어어엉말 눈 시렵고 아프고 충혈되는 날이 너무 많아서 버렸어요..
yangeng,7,복합성,34,3,가성비 괜찮고 순한듯 하나 눈에 쫌 드가면 ㅋ따가워용 ㅠㅠㅋㅋ
빨개요R,35,지성,25,2,세정력은 중간인데 눈에 들어가면 마이아이즈!!! 하면서 욕나온다
zzan_mi,20,복합성,20,3,좋긴한데 엄청난 세정력을 갖고 있진 않음..
뭉뭉뿌,33,복합성,23,3,친구가 괜찮대서 샀는데 세일할때 사면 정말 괜찮긴해요 근데 눈에 들어가면 넘나 따갑ㅠㅠ 지워지긴 잘지워져요
룰루리아,61,지성,23,3,나쁘지도 않고 딱히 좋지도 않은 제품이었어요 근데 눈에 들어가면 이건 저어어어어엉말 따갑습니다 :(
소은2,194,건성,25,2,"전 이거 잘안지워지던데요..
예전에 괜찮다해서 구매했는데 억지로 사용했네요
다시 구매 절대 안할 것 같아요
같은 라인 제품도 구매하기 꺼려지네요"
fmsmalzb,86,복합성,21,3,세정력은 괜찮은 것 같은데 눈에 들어가면 진짜 따가워요ㅋㅋㅋ 그치만 50퍼 할때 내가 다섯개나 샀으니... 이겨내고 써야죠ㅋㅋㅋ
bnv01,74,중성,19,2,잘지워지는데 나는 개인적으러 이거로 지우면 눈주변이 엄청 따가웟음
마이네임슈,19,민감성,26,4,이것보다 스킨푸드가 더 순하고 좋아요
바나나맛서울우유,12,복합성,16,4,"세정력이 되게 좋아요!
근데 눈에 들어가면 따가워서ㅠㅜ
어쨌ㄴ든 세정력은 정말 좋습니다ㅇ!!!"
아를르,45,복합성,22,3,"에뛰드 마스카라 잘 지워졌어요.
처음엔 눈이 안따가웠는데 어느순간부터 따갑기 시작했어요.
가격은 원플원 세일 자주해서 괜찮은 편이에요.
재구매의사는 없어요. 눈이 따가워서 다른제품 찾을려구요."
